Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood","51,16",7,"0,0","14,5"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,OFF-AR-10002833,Office Supplies,Art,Newell 322,"7,62",4,"0,0","2,01"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,"949,79",6,"0,2","92,8"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,"19,37",3,"0,2","5,92"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,"120,3",5,"0,0","35,26"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,"1786,37",9,"0,2","87,27"
2021-115812,06/10/2021,06/15/2021,Standard Class,BH-11710,Brosina Russell,Consumer,United States,Los Angeles,California,90032,3,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,"954,26",4,"0,2","69,93"
2021-105893,11/12/2021,11/19/2021,Standard Class,PK-19075,Pete Lawrence,Consumer,United States,Madison,Wisconsin,53711,1,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D","697,18",6,"0,0","13,62"
2021-167164,05/14/2021,05/16/2021,Second Class,AG-10270,Alejandro Sanchez,Consumer,United States,West Jordan,Utah,84084,3,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,"58,11",2,"0,0","10,22"
2021-143336,08/28/2021,09/02/2021,Second Class,ZD-21925,Zuschuss Cooper,Consumer,United States,San Francisco,California,94109,3,OFF-AR-10003056,Office Supplies,Art,Newell 341,"8,96",2,"0,0","2,54"
2021-143336,08/28/2021,09/02/2021,Second Class,ZD-21925,Zuschuss Cooper,Consumer,United States,San Francisco,California,94109,3,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,"223,51",3,"0,2","16,38"
2021-143336,08/28/2021,09/02/2021,Second Class,ZD-21925,Zuschuss Cooper,Consumer,United States,San Francisco,California,94109,3,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""","23,79",4,"0,2","7,55"
